net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation
330,110,1,1,0.1374316919546773,0.048360197883591756,4.379475671590895,2.4134890060799905,0.2366196170290041,1.0110666443797725,-138.28273409490993,4.36027334280623,4.398678000375559,1.0088078555058229,0.008769236422171452
332,111,7,1,0.4105205032060705,0.11227834445194249,4.40612117808716,2.831755619678845,0.7427747124633161,1.3909329531789167,-162.24762559305074,4.429981130726797,4.382261225447523,0.9892279664695895,0.010830366063602286
333,112,1,1,0.22230624532384466,0.07597366143049157,4.41554654263212,-0.7089699425432033,0.30618294888157027,1.0086958157824801,40.62098497793819,4.329598298371219,4.50149478689302,1.0397026413712487,0.038929832776563394
334,113,11,1,0.33904529931551275,0.11641440199136464,4.411104016369804,1.5025446999062224,0.47375997303433676,1.8955101785090798,-86.08946687629312,4.439732298708697,4.382475734030911,0.9871035997610849,0.012980098511688772
338,114,7,1,0.13974128296438318,0.03879011109055056,4.379599306724363,-2.1796038973713383,0.2612199169900013,0.863755234622176,124.88210460687914,4.34173181243789,4.417466801010836,1.0174434976282936,0.017292675258365434
339,115,1,1,0.11636899487415438,0.03786684122461947,4.486995987113247,3.015303587515954,0.14565589327405584,0.6020304445064343,-172.76416947639984,4.460711943606853,4.513280030619643,1.0117846854218262,0.011715652780561097
341,116,5,1,0.14199369415071383,0.06210964176367606,4.3968917535650265,-2.2894653148998985,0.26061511719935154,0.8253976269164534,131.17670021995693,4.391555475891736,4.402228031238315,1.0024302449109814,0.002427295449774398
342,117,11,1,0.1553980217900309,0.06463160707516336,4.358182613501672,-2.4172758035213935,0.254506553691145,0.5926870050763716,138.4997011063417,4.355441942022866,4.360923284980479,1.0012585044251714,0.00125771300647931
346,118,5,1,0.19292242497020107,0.05366510317048497,4.26146998081951,0.5926418428761349,0.29615016074570594,0.8096544828420736,-33.95587733051463,4.216170907082156,4.306769054556865,1.0214882530787652,0.02125983472428126
350,119,1,1,0.2805050856726533,0.06454789613513758,4.328528640940892,1.2314735397609313,0.4792757147467542,1.0962597375554013,-70.55823069566834,4.324479322586431,4.332577959295354,1.0018727426135732,0.001870990671592946
353,120,5,1,0.11242251702056659,0.032034008225357284,4.3457177658915525,-1.6324612367505307,0.16429694612368612,0.7069126764899964,93.53313916688835,4.315694663799326,4.375740867983777,1.0139134505246923,0.013817327175671208
