net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
141,80,6,2,3.7848583108359066,0.540617300675981,9.33027787500202,-1.4097170591501247,5.668993932258111,11.463553124142141,80.75424955397166
142,81,3,1,0.06873123413953995,0.07124222884606803,6.1148929291550465,0.6085174906584446,0.10188385910206765,0.36195376603524293,-34.865483971065395
143,82,13,1,0.04998383071136762,0.048206091872811586,6.124084945465355,2.9997734574738915,0.08129742007769342,0.3254733708045021,-171.87435857393046
147,83,9,1,0.05950357052375233,0.06126443072291215,6.256658910832672,0.18723276649314904,0.0927522498656378,0.26270074769211776,-10.727647323105067
148,84,13,1,0.04185229906522307,0.05626880020218441,6.3066836613964306,0.4089190929064862,0.07408368624002237,0.2021499208176483,-23.429338195715033
150,85,6,2,3.767355656352207,0.5321390004366626,9.370589188352884,-0.4537099733770407,5.642854437991489,11.38470464376222,26.012025122304273
151,86,21,1,0.04271500527117145,0.03729486950270313,6.2398194394465865,1.2965367636647727,0.06976467523088536,0.2399925874154144,-74.28608452334213
152,87,9,1,0.07176592772542771,0.05988278475769842,6.272766047654429,1.8085859127081467,0.11742491307076214,0.3321501544700831,-103.62433972541521
153,88,21,1,0.04397184210613256,0.06743796212444182,6.185215337757856,-3.000171884812248,0.06566913874419214,0.1951569219498222,171.89718681994253
156,89,13,1,0.041808471633589105,0.0690764710975592,6.5313518716854695,-1.892792411853934,0.07180351396415531,0.28112969931819515,108.44901670591805
157,90,9,1,0.058013330594116674,0.07921845968994397,6.143753315580372,-0.24971558122090945,0.09841298923970497,0.2558189229651628,14.30764889775452
160,91,10,2,3.75395806013966,0.5307577814746698,9.01700000807572,-0.9198154583476474,5.622845656177162,11.376435997177904,52.68535955989926
162,92,9,1,0.05225539640331947,0.08363850450032506,6.395018311018953,-2.1715311931927834,0.08287377730793159,0.29893920684852865,124.41957246595872
165,93,19,1,0.04375427770456202,0.056527556947322685,6.384026961785813,-2.0435008562434276,0.0730779852490119,0.2536648568450892,117.08397450383471
166,94,8,2,3.773957565664423,0.5294203717046154,9.207508760470784,-1.7325960834875065,5.65271431845953,11.42982372291362,99.25399826653982
168,95,21,1,0.047938181913886053,0.06544824466862058,6.229185869370192,-2.2308475036599464,0.08397684930407753,0.3187980562694175,127.81814672082456
171,96,17,1,0.033409466684460605,0.04598283112647945,6.253332650968963,2.3406048460317006,0.06212753619700267,0.2587151055735174,-134.10677918275198
